--- TABLE: kunjungan_forms ---
id                   | bigint unsigned      | Null: NO  | Key: PRI | Default: 
task_id              | bigint unsigned      | Null: YES | Key: MUL | Default: 
relawan_id           | bigint unsigned      | Null: YES | Key: MUL | Default: 
campaign_id          | bigint unsigned      | Null: YES | Key: MUL | Default: 
latitude             | decimal(10,7)        | Null: YES | Key:     | Default: 
longitude            | decimal(10,7)        | Null: YES | Key:     | Default: 
nama                 | varchar(255)         | Null: NO  | Key:     | Default: 
nik                  | varchar(255)         | Null: NO  | Key: UNI | Default: 
umur                 | varchar(255)         | Null: NO  | Key:     | Default: 
pekerjaan_id         | bigint unsigned      | Null: YES | Key: MUL | Default: 
penghasilan          | varchar(255)         | Null: NO  | Key:     | Default: 
pendidikan           | varchar(255)         | Null: NO  | Key:     | Default: 
foto_ktp             | varchar(255)         | Null: NO  | Key:     | Default: 
alamat               | varchar(255)         | Null: NO  | Key:     | Default: 
status_verifikasi    | varchar(255)         | Null: NO  | Key:     | Default: pending
verified_by          | bigint unsigned      | Null: YES | Key: MUL | Default: 
verified_at          | timestamp            | Null: YES | Key:     | Default: 
created_at           | timestamp            | Null: YES | Key:     | Default: 
updated_at           | timestamp            | Null: YES | Key:     | Default: 
tanggal              | date                 | Null: YES | Key:     | Default: 
pekerjaan            | varchar(255)         | Null: YES | Key:     | Default: 
status               | varchar(255)         | Null: NO  | Key:     | Default: draft
score                | int                  | Null: YES | Key:     | Default: 
completed_at         | timestamp            | Null: YES | Key:     | Default: 
completed_by         | bigint unsigned      | Null: YES | Key:     | Default: 
offline_id           | varchar(255)         | Null: YES | Key: UNI | Default: 
created_by           | bigint unsigned      | Null: YES | Key: MUL | Default: 
